Year,Replicate,Variety,Resistance category,Final mortality  ,mortality average,,,,,
2017-2018,1,bg 6.3024,2,35.0,22.0,,,,,
2017-2018,2,bg 6.3024,2,35.0,22.0,,,,,
2017-2018,3,bg 6.3024,2,30.0,22.0,,,,,
2017-2018,4,bg 6.3024,2,60.0,22.0,,,,,
2018-2019,1,bg 6.3024,2,30.0,22.0,,,,,
2018-2019,2,bg 6.3024,2,15.0,22.0,,,,,
2018-2019,3,bg 6.3024,2,15.0,22.0,,,,,
2018-2019,4,bg 6.3024,2,20.0,22.0,,,,,
2019-2020,1,bg 6.3024,2,5.6,22.0,,,,,
2019-2020,2,bg 6.3024,2,5.0,22.0,,,,,
2019-2020,3,bg 6.3024,2,50.0,22.0,,,,,
2019-2020,4,bg 6.3024,2,5.0,22.0,,,,,
2016-2017,1,bg 6.3024 ,2,35.0,22.0,,,,,
2016-2017,2,bg 6.3024 ,2,15.0,22.0,,,,,
2016-2017,3,bg 6.3024 ,2,20.0,22.0,,,,,
2016-2017,4,bg 6.3024 ,2,10.0,22.0,,,,,
2020-2021,1,bg 6.3024 ,2,5.0,22.0,,,,,
2020-2021,2,bg 6.3024 ,2,5.0,22.0,,,,,
2020-2021,3,bg 6.3024 ,2,30.0,22.0,,,,,
2020-2021,4,bg 6.3024 ,2,15.0,22.0,,,,,
2017-2018,1,Big Sur,2,40.0,36.8,,,,,
2017-2018,2,Big Sur,2,75.0,36.8,,,,,
2017-2018,3,Big Sur,2,50.0,36.8,,,,,
2017-2018,4,Big Sur,2,60.0,36.8,,,,,
2018-2019,1,Big Sur,2,65.0,36.8,,,,,
2018-2019,2,Big Sur,2,68.4,36.8,,,,,
2018-2019,3,Big Sur,2,40.0,36.8,,,,,
2018-2019,4,Big Sur,2,57.9,36.8,,,,,
2019-2020,1,Big Sur,2,0.0,36.8,,,,,
2019-2020,2,Big Sur,2,60.0,36.8,,,,,
2019-2020,3,Big Sur,2,18.8,36.8,,,,,
2019-2020,4,Big Sur,2,50.0,36.8,,,,,
2016-2017,1,Big Sur ,2,20.0,36.8,,,,,
2016-2017,2,Big Sur ,2,25.0,36.8,,,,,
2016-2017,3,Big Sur ,2,50.0,36.8,,,,,
2016-2017,4,Big Sur ,2,25.0,36.8,,,,,
2020-2021,1,Big Sur ,2,0.0,36.8,,,,,
2020-2021,2,Big Sur ,2,20.0,36.8,,,,,
2020-2021,3,Big Sur ,2,0.0,36.8,,,,,
2020-2021,4,Big Sur ,2,10.0,36.8,,,,,
2017-2018,1,Fronteras,3,80.0,45.2,,,,,
