Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),Total Precip (mm),Avg Sol Rad (W/sq.m),Avg Vap Pres (kPa),Avg Max Air Temp (C),Avg Min Air Temp (C),Avg Air Temp (C),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (C),Avg Wind Speed (m/s),Avg Soil Temp (C)
52,San Luis Obispo,Central Coast Valleys,Nov-16,65.61,49.6,130,1.2,22.7,8.8,14.8,92,44,69,8.9,1.5,15.6
52,San Luis Obispo,Central Coast Valleys,Dec-16,55.04,100.9,96,1,17.1,7.6,12.2,83,52,67,5.6,2,12.5
52,San Luis Obispo,Central Coast Valleys,Jan-17,45.03,337.6,95,1,16.3,7.1,11.4,89,57,75,6.6,1.7,11.8
52,San Luis Obispo,Central Coast Valleys,Feb-17,41.4,256.8,109,1.2,16.9,8.9,12.5,95,64,81,9,1.5,13.4
52,San Luis Obispo,Central Coast Valleys,Mar-17,116.86,59.5,213,1.2,21.6,10.3,15.3,87,48,68,8.9,2.1,15.1
52,San Luis Obispo,Central Coast Valleys,Apr-17,126.88,49.1,249,1.2,22.2,10.2,15.6,92,45,68,9.4,1.7,16.5
52,San Luis Obispo,Central Coast Valleys,May-17,138.45,9.1,272,1.3,22.4,10.9,15.9,94,54,73,10.7,1.5,18.2
52,San Luis Obispo,Central Coast Valleys,Jun-17,167.37,0.1,321,1.6,27.1,12.9,18.9,93,51,73,13.5,1.6,20
52,San Luis Obispo,Central Coast Valleys,Jul-17,171.09,0,305,1.6,28.5,13.7,19.6,94,48,73,14.3,1.4,21.3
52,San Luis Obispo,Central Coast Valleys,Aug-17,134.09,0.9,245,1.8,28.1,15,19.9,95,55,77,15.6,1.4,21.7
52,San Luis Obispo,Central Coast Valleys,Sep-17,120.17,5.1,214,1.5,27.6,14.4,20,87,44,67,12.5,1.5,21.6
52,San Luis Obispo,Central Coast Valleys,Oct-17,125.38,0.8,181,1.1,28.2,12.9,19.3,73,29,51,7.3,1.9,18.1
52,San Luis Obispo,Central Coast Valleys,Nov-17,68.83,10.6,117,1.2,24,10.8,16.8,85,42,65,9.5,1.9,16.3
52,San Luis Obispo,Central Coast Valleys,Dec-17,86.51,4,113,0.6,23.4,7.6,14.5,62,20,42,0.1,2.1,12.2
52,San Luis Obispo,Central Coast Valleys,Jan-18,61.8,81,104,1.2,22.2,9.9,15.2,86,44,68,8.8,1.8,13.3
52,San Luis Obispo,Central Coast Valleys,Feb-18,86.59,3.4,165,0.8,22.1,7.2,14.3,77,31,55,3.6,1.9,13.1
52,San Luis Obispo,Central Coast Valleys,Mar-18,82.2,199.2,165,1.2,20.6,8.6,13.9,94,54,76,9.3,1.6,13.8
52,San Luis Obispo,Central Coast Valleys,Apr-18,130,12.8,251,1.4,24.7,11,16.7,96,54,75,11.7,1.8,16.8
52,San Luis Obispo,Central Coast Valleys,May-18,125.68,0.2,250,1.5,24.4,11.3,16.2,96,61,79,12.2,1.5,18.2
52,San Luis Obispo,Central Coast Valleys,Jun-18,151.99,0.1,287,1.7,28.9,13,19.1,97,54,76,14.1,1.6,19.8
52,San Luis Obispo,Central Coast Valleys,Jul-18,161.38,0,272,1.9,32,15.1,20.8,91,48,79,16,1.6,21.8
52,San Luis Obispo,Central Coast Valleys,Aug-18,148.71,0,259,1.8,30.7,14.8,21.2,93,50,75,15.5,1.5,22
52,San Luis Obispo,Central Coast Valleys,Sep-18,119.25,0,224,1.8,30.9,13.4,19.7,98,51,78,14.9,1.5,20.7
52,San Luis Obispo,Central Coast Valleys,Oct-18,101.5,16.3,178,1.2,25.7,11.1,17.3,88,39,63,9.8,1.5,18.9
52,San Luis Obispo,Central Coast Valleys,Nov-18,75.12,115.5,135,1,23.4,9.2,15.6,81,36,56,5.1,1.5,16.1
52,San Luis Obispo,Central Coast Valleys,Dec-18,59.58,27.3,110,0.9,17.7,7.8,12.5,84,46,65,5.8,2,13.8
52,San Luis Obispo,Central Coast Valleys,Jan-19,49.47,175.4,105,1,17.8,7.6,12.4,88,51,72,7,1.6,12.9
52,San Luis Obispo,Central Coast Valleys,Feb-19,50.32,189.9,138,0.9,14.4,4.5,9.4,92,53,74,4.9,1.5,11.9
52,San Luis Obispo,Central Coast Valleys,Mar-19,91.31,156.7,195,1,18.2,7.6,12.6,90,52,72,7.2,1.5,13.9
52,San Luis Obispo,Central Coast Valleys,Apr-19,114.96,4.8,242,1.2,20.6,9.5,14.5,93,56,74,9.8,1.5,16.8
52,San Luis Obispo,Central Coast Valleys,May-19,117.27,44.4,253,1.2,19.2,10,13.9,93,59,78,10.1,1.4,18
52,San Luis Obispo,Central Coast Valleys,Jun-19,144.04,0.1,297,1.4,23,12.3,16.7,92,56,75,11.9,1.4,20.5
52,San Luis Obispo,Central Coast Valleys,Jul-19,165.08,0,318,1.4,25,11.9,17,94,52,74,12.3,1.5,21.2
52,San Luis Obispo,Central Coast Valleys,Aug-19,153.19,0,286,1.5,26.5,13.1,18.3,93,49,73,13.2,1.4,21.8
52,San Luis Obispo,Central Coast Valleys,Sep-19,133.78,0.4,245,1.4,27.8,13,19.6,86,40,62,11.3,1.4,21.5
52,San Luis Obispo,Central Coast Valleys,Oct-19,119.76,0.2,203,0.9,26.7,10.5,17,72,24,47,4.7,1.6,18.2
52,San Luis Obispo,Central Coast Valleys,Nov-19,67.24,56.9,135,1,21.3,7.3,13.3,83,41,65,5.9,1.4,15.5
52,San Luis Obispo,Central Coast Valleys,Dec-19,42.29,99.2,90,1,17,7.3,11.8,91,53,74,7.1,1.4,13.4
52,San Luis Obispo,Central Coast Valleys,Jan-20,61.86,10.8,124,0.9,17.7,7.3,12.2,84,47,66,5.7,2,12.2
52,San Luis Obispo,Central Coast Valleys,Feb-20,85.44,0.5,181,0.8,20.9,6.2,12.7,83,33,57,3.8,1.6,12.9
52,San Luis Obispo,Central Coast Valleys,Mar-20,77.95,146,173,1,17.2,7.3,11.7,91,53,74,7,1.4,14.4
52,San Luis Obispo,Central Coast Valleys,Apr-20,117.63,64.1,239,1.1,20.2,9,14.4,89,53,71,8.8,1.7,16.2
52,San Luis Obispo,Central Coast Valleys,May-20,158.38,0.3,304,1.2,23.6,10.5,16.6,89,45,65,9.7,1.6,19.2
52,San Luis Obispo,Central Coast Valleys,Jun-20,160.44,1.5,316,1.3,24.4,11.9,17.5,88,47,67,10.7,1.6,20.5
52,San Luis Obispo,Central Coast Valleys,Jul-20,159.2,0.1,307,1.4,24.1,12.1,16.9,91,52,73,11.9,1.5,21.3
52,San Luis Obispo,Central Coast Valleys,Aug-20,149,0.3,261,1,28.4,13.7,18.6,85,44,69,12.7,1.4,22.2
52,San Luis Obispo,Central Coast Valleys,Sep-20,114.84,0.3,211,1.1,27.2,11.8,17.8,93,45,70,11.9,1.4,20.9
52,San Luis Obispo,Central Coast Valleys,Oct-20,109.29,0.9,172,1.2,27.8,13,19.3,78,36,61,9.4,1.4,19.8
52,San Luis Obispo,Central Coast Valleys,Nov-20,80.56,14.2,138,0.9,21.8,8.1,14.4,82,33,54,4.4,2.1,15.2
52,San Luis Obispo,Central Coast Valleys,Dec-20,66.97,42.8,104,0.8,19.7,6.6,12.6,78,33,55,2.8,1.9,12.7
52,San Luis Obispo,Central Coast Valleys,Jan-21,68.82,183.3,107,0.9,19,7.6,13.2,79,40,62,4.4,2.1,12.5
52,San Luis Obispo,Central Coast Valleys,Feb-21,80.17,7.9,163,0.8,19.2,7.8,12.9,80,38,58,4,2,12.8
52,San Luis Obispo,Central Coast Valleys,Mar-21,93.34,30.8,195,0.9,17.9,5.3,10.9,91,45,68,5,1.5,13.5
52,San Luis Obispo,Central Coast Valleys,Apr-21,109.98,0.2,233,1,18.9,7.4,12.2,92,54,74,7.5,1.6,16.1
52,San Luis Obispo,Central Coast Valleys,May-21,136.97,0.3,274,1.2,20.8,8.7,13.9,93,52,73,9,1.6,18.4
52,San Luis Obispo,Central Coast Valleys,Jun-21,155.58,0,296,1.3,24.2,12.1,17,91,51,72,11.4,1.8,20.5
